anio,GENRE,CANTIDAD
1929,Mystery,0.0
1929,School,0.0
1929,Space,0.0
1929,Super Power,0.0
1929,Magic,0.0
1929,Shoujo,0.0
1929,Cars,0.0
1929,Horror,0.0
1929,Martial Arts,0.0
1929,Parody,0.0
1929,Police,0.0
1929,Hentai,0.0
1929,Psychological,0.0
1929,Vampire,0.0
1929,Seinen,0.0
1929,Shounen Ai,0.0
1929,Game,0.0
1929,Yuri,0.0
1929,Thriller,0.0
1929,Josei,0.0
1929,Harem,0.0
1929,Shoujo Ai,0.0
1929,Yaoi,0.0
1930,Comedy,1.0
1930,Drama,0.0
1930,Kids,1.0
1930,Samurai,0.0
1930,Demons,0.0
1930,Fantasy,0.0
1930,Historical,0.0
1930,Adventure,0.0
1930,Romance,0.0
1930,Action,0.0
1930,Music,1.0
1930,Sports,1.0
1930,Military,0.0
1930,Slice of Life,0.0
1930,Supernatural,0.0
1930,Dementia,0.0
1930,Ecchi,0.0
1930,Mecha,0.0
1930,Sci-Fi,0.0
1930,Shounen,0.0
1930,Mystery,0.0
1930,School,0.0
1930,Space,0.0
1930,Super Power,0.0
1930,Magic,0.0
1930,Shoujo,0.0
1930,Cars,0.0
1930,Horror,0.0
1930,Martial Arts,0.0
1930,Parody,0.0
1930,Police,0.0
1930,Hentai,0.0
1930,Psychological,0.0
1930,Vampire,0.0
1930,Seinen,0.0
1930,Shounen Ai,0.0
1930,Game,0.0
1930,Yuri,0.0
1930,Thriller,0.0
1930,Josei,0.0
1930,Harem,0.0
1930,Shoujo Ai,0.0
1930,Yaoi,0.0
1931,Comedy,1.0
1931,Drama,0.0
1931,Kids,0.0
1931,Samurai,0.0
1931,Demons,0.0
1931,Fantasy,0.0
1931,Historical,1.0
1931,Adventure,2.0
1931,Romance,0.0
1931,Action,0.0
1931,Music,1.0
1931,Sports,0.0
1931,Military,1.0
1931,Slice of Life,0.0
1931,Supernatural,0.0
1931,Dementia,0.0
1931,Ecchi,0.0
1931,Mecha,0.0
1931,Sci-Fi,0.0
1931,Shounen,0.0
1931,Mystery,0.0
1931,School,0.0
1931,Space,0.0
1931,Super Power,0.0
1931,Magic,0.0
1931,Shoujo,0.0
1931,Cars,0.0
1931,Horror,0.0
1931,Martial Arts,0.0
1931,Parody,0.0
1931,Police,0.0
1931,Hentai,0.0
1931,Psychological,0.0
1931,Vampire,0.0
1931,Seinen,0.0
1931,Shounen Ai,0.0
1931,Game,0.0
1931,Yuri,0.0
1931,Thriller,0.0
1931,Josei,0.0
1931,Harem,0.0
